,Geographic area,City_x,share_white,share_black,share_native_american,share_asian,share_hispanic,city,Geographic Area_x,City_y,Median Income,Geographic Area_y,City_x,poverty_rate,Geographic Area,City_y,percent_completed_hs
147,AK,Kalifornsky CDP,87.2,0.4,5,0.9,3.5,AK-Kalifornsky CDP,AK,Kalifornsky CDP,72335,AK,Kalifornsky CDP,5.1,AK,Kalifornsky CDP,96.3
148,AK,Kaltag city,5.8,0,91.6,0,0,AK-Kaltag city,AK,Kaltag city,28750,AK,Kaltag city,13.5,AK,Kaltag city,86.4
149,AK,Karluk CDP,5.4,0,94.6,0,0,AK-Karluk CDP,AK,Karluk CDP,20938,AK,Karluk CDP,31.8,AK,Karluk CDP,85
150,AK,Kasaan city,53.1,0,34.7,2,0,AK-Kasaan city,AK,Kasaan city,49286,AK,Kasaan city,2.8,AK,Kasaan city,90.2
151,AK,Kasigluk CDP,3.3,0,94.7,0,0.2,AK-Kasigluk CDP,AK,Kasigluk CDP,43750,AK,Kasigluk CDP,35.8,AK,Kasigluk CDP,68.1
152,AK,Kasilof CDP,87.8,0.2,4.2,0.5,2.4,AK-Kasilof CDP,AK,Kasilof CDP,65893,AK,Kasilof CDP,5.7,AK,Kasilof CDP,100
153,AK,Kenai city,79.9,0.7,8.9,1.5,4.5,AK-Kenai city,AK,Kenai city,62236,AK,Kenai city,10.9,AK,Kenai city,89.7
154,AK,Kenny Lake CDP,83.4,0.3,8.2,0.3,3.4,AK-Kenny Lake CDP,AK,Kenny Lake CDP,(X),AK,Kenny Lake CDP,35.9,AK,Kenny Lake CDP,100
155,AK,Ketchikan city,60.7,0.8,16.7,10.8,4.4,AK-Ketchikan city,AK,Ketchikan city,53111,AK,Ketchikan city,16.6,AK,Ketchikan city,89.9
156,AK,Kiana city,6.6,0.3,90.3,0,0.3,AK-Kiana city,AK,Kiana city,41250,AK,Kiana city,36.3,AK,Kiana city,76.1
157,AK,King Cove city,16.2,1,38.4,36.5,11.2,AK-King Cove city,AK,King Cove city,63667,AK,King Cove city,17.5,AK,King Cove city,87.3
158,AK,King Salmon CDP,61.2,0,27.8,1.3,2.7,AK-King Salmon CDP,AK,King Salmon CDP,81563,AK,King Salmon CDP,11.9,AK,King Salmon CDP,93.2
